id,bricr_apn,seed_building_id,seed_primary_property_type,building_type_id,seed_building_address,seed_property_name_seed,seed_property_gfa_ft2,seed_property_gfa_m2,bricr_building_name,bricr_occupancy_classification,bricr_gfa_ft2,bricr_building_height_m2_fix,bricr_number_of_floors,bricr_building_perimeter_ft,bricr_building_footprint_floor_area_ft2,bricr_completed_construction_status_date,bricr_last_modified_date,seed_2018_1_elec_kwh,seed_2018_2_elec_kwh,seed_2018_3_elec_kwh,seed_2018_4_elec_kwh,seed_2018_5_elec_kwh,seed_2018_6_elec_kwh,seed_2018_7_elec_kwh,seed_2018_8_elec_kwh,seed_2018_9_elec_kwh,seed_2018_10_elec_kwh,seed_2018_11_elec_kwh,seed_2018_12_elec_kwh,seed_2018_1_gas_therm,seed_2018_2_gas_therm,seed_2018_3_gas_therm,seed_2018_4_gas_therm,seed_2018_5_gas_therm,seed_2018_6_gas_therm,seed_2018_7_gas_therm,seed_2018_8_gas_therm,seed_2018_9_gas_therm,seed_2018_10_gas_therm,seed_2018_11_gas_therm,seed_2018_12_gas_therm
109,SF3729024,3729/024,Office,1,271-275 Ninth Street,Ninth Street,18050,1677,JOHN T & JOAN C OROURKE LVG,Office,18050,13.34,3,106.82,698.3,1917,,4201.08788,4324.353631,4748.837973,5310.391719,4202.406701,4919.434724,4201.586101,3325.537639,3539.215859,3450.356668,5190.437673,5849.203139,404.959,328.804,308.575,231.362,163.375,107.09,78.168,71.654,77.35,95.362,258.155,436.095
110,SF3758131,3758/131,Office,1,1177 Harrison Street,Getaround Car Rental - 1177 Harrison Street,15800,1468,BRAYER LLC  ,Office,15800,9.83,2,106.84,697.53,1919,,9953.137913,8647.271214,11096.43801,10549.65506,9995.486703,10771.07035,11563.44699,11487.21916,11474.23611,11713.76321,10723.27044,11544.45597,412.528,420.704,308.572,111.496,75.9,58.033,121.984,94.604,70.155,94.224,310.633,559.738
111,SF3780056A,3780/056A,Office,1,360 Langton,360 Langton,21701,2016,MATHEWS LAURANCE O & JEANET,Office,26701,13.63,3,106.66,696.11,1928,20070327,17454.82307,15338.11626,17586.11898,16500.5246,17730.691,18028.94957,19500.54804,18531.00986,17843.08381,18377.26471,16669.77322,17272.56209,662.89,508.154,370.777,142.179,55.075,8.725,3.193,22.177,3.927,31.603,419.633,717.092
112,SF3749001,3749/001,Office,3,501 Folsom St.,501 Folsom Street LLC,30750,2857,501 FOLSOM STREET LLC,Office,30750,18.53,5,104.8,675.23,1916,20070207,21987.16934,19593.07062,18698.55868,16755.37932,13130.87974,11234.6504,11674.40375,11302.29123,17289.97052,19775.36092,20668.72989,21382.35829,337.242,152.25,125.716,103.468,105.567,92.223,33.939,23.453,49.626,38.967,131.85,265.135
113,SF1064060,1064/060,Office,1,3330 Geary Blvd.,3330 Geary Blvd.,19913,1850,FIVE STARS INVESTMENT LLC  ,Office,19913,11.11,3,177.77,670.81,1922,20080729,8701.723845,8104.268875,9236.31504,8135.803337,9506.673231,10474.01338,12102.46356,13376.94233,13472.95246,14421.47743,14020.67324,15805.03731,310.747,379.534,459,387.293,405.407,403.413,448.71,483.177,449.167,469.333,480,692.5
116,SF3722019,3722/019,Office,3,182 2nd Street,182 2nd,25000,2323,SECOND & HOWARD 88 LLC  ,Office,25000,23.01,4,102.77,656.57,1909,20080814,24325.32077,16333.00509,27076.58537,26669.80253,20780.24348,27326.63373,32216.52687,30186.89151,27150.82031,29342.55335,26044.71094,26447.27356,108.242,98.974,120.75,126.2,120.331,102.979,111.093,113.578,117.749,100.288,84.115,64.667
117,SF0141003B,0141/003B,Office,1,100 Broadway,100 Broadway,24000,2230,ONE HUNDRED BROADWAY ASSCS ,Office,24000,10.78,3,114.82,651.84,1927,20030804,14899.94549,13853.0072,16358.1213,16021.99793,15983.48837,16587.44952,17201.4044,16250.76931,15533.12584,15078.86546,13400.03634,14255.95081,104.679,73.544,47.846,22.61,17.388,14.646,16.567,16.788,15.979,19.816,70.142,145.575
118,SF6528037,6528/037,Office,1,2919 Mission Street,Instituto Familiar De La Raza,19540,1815,INSTITUTO FAMILIAR DE LA RA,Office,15431,8.83,2,168.2,642.63,1907,19941031,4628.678776,4113.957809,4500.811807,4125.827193,3818.190344,3430.515747,3580.831971,3738.123289,3453.609758,3852.74344,3837.034823,4176.76297,38.484,20.774,22.742,5.806,3.194,0,2,6.469,14.062,11.469,43.548,77.389
123,SF3708023,3708/023,Office,3,40 Jessie Street,40 Jessie Street,40424,3755,GOLDEN GATE UNIVERSITY OF S,Office,40424,24.51,5,108.35,605.1,1913,20160427,15273.2889,13720.86139,15216.28655,5072.88681,5719.753586,5890.438259,5407.046604,4981.858892,5170.596752,5779.715955,24323.59165,28012.62551,8.69,12.123,12.75,14.024,6.747,6.354,8.209,10.684,12.323,15.097,17.6,2.4
124,SF3777044,3777/044,Office,1,560 Brannan St,560 Brannan,15762,1464,MURPHY TRUST,Office,15762,8.66,2,100.62,602.04,1929,,5029.248507,4619.798719,5335.449307,5249.872514,5197.58861,5379.263453,6041.340625,5315.286008,5163.152743,5692.996184,4705.727198,4655.787863,194.562,203.575,116.356,70.407,26.925,7.208,0.667,0,0,0,61.533,112.241
125,SF3728076,3728/076,Office,3,1263 Mission Street,1263 Mission Street,26419,2454,KFF RPP MISSION LLC  ,Office,26419,13.87,3,123.67,598.09,1924,20150408,26444.92899,28251.03894,26698.99242,22357.93373,22149.99971,22046.60418,20791.46811,21557.7321,21655.09035,23519.93177,24142.12195,29644.56324,42.161,38.954,33.949,44.594,43.471,44.929,55.168,55.387,48.245,52.948,49.652,39.639
126,SF3509015C,3509/015C,Office,3,1375 Mission (1175 Mission Street),1375 Mission,26000,2415,SAMUEL & DAPHNE NOILY 1992 ,Office,26000,10.11,2,103.78,597.21,1929,20110829,19308.20541,17039.04295,19350.34905,17923.56117,19023.19366,19724.30791,20370.26617,19659.42195,19100.44723,19406.50149,16963.63572,17753.19887,463.71,470.034,331.993,178.715,114.422,41.007,30.598,49.386,72.89,78.53,251.925,488.361
128,SF3519005,3519/005,Office,3,360 9th St,360 9th St,22800,2118,CIANFRUA LLC,Office,22800,13.88,4,99.11,578.56,1920,20150211,18965.48793,8105.675617,9415.87977,8788.29708,9987.808238,12537.32262,19454.2721,17980.9152,16737.15029,17676.06253,16111.17949,14369.9262,379.952,506.042,496.648,239.359,106.275,73.658,85.812,126.049,133.606,190.03,437.503,633.95
130,SF3735009,3735/009,Office,1,608 Folsom Street,608 Folsom,12750,1185,608 FOLSOM STREET LLC,Office,12750,11.15,2,105.25,571.45,1922,20120912,9921.193152,8502.025122,9408.259919,8566.999009,10014.94663,11003.71028,10871.18348,10128.07212,9556.172959,9481.879407,8318.240166,9068.678307,330.314,293.242,245.999,115.945,103.15,86.05,13.993,6.358,12.504,25.845,171.633,471.802
132,SF3715001,3715/001,Office,3,100 The Embarcadero,Audiffred Building,31740,2949,SYERS PROPERTIES IV LP  ,Office,31740,15.45,4,110.46,555.8,1889,20131127,73565.53365,7301.488216,75907.20193,74060.64816,75955.82245,73258.80532,78151.04304,76558.31824,76134.62519,75847.4154,70997.37994,72177.16741,3925.626,3437.846,3839.228,3656.182,3692.3,3246.422,3391.164,3472.547,3246.39,3458.595,3563.323,3847.794
133,SF3520027,3520/027,Office,1,355 11th Street,355 11th Street,14000,1301,MATAROZZI/PELSINGER BUILDER,Office,15000,10.71,3,97.56,555.18,1906,,4490.261244,3560.873821,4197.248647,4394.045965,3640.354733,3054.622612,3259.15701,3085.688161,3429.314155,5282.901639,4150.679632,4138.956784,12592.401,11045.124,11296.944,18947.932,10839.374,9912.418,10143.729,9863.752,10106.727,22742.441,12918.448,11435.143
134,SF3721082,3721/082,Office,3,545 Mission St.,Mission & Shaw LLC,29309,2723,MISSION & SHAW LLC,Office,29309,23.4,5,123.06,546.55,1906,20070525,36531.20915,31976.67739,33698.03115,32659.03509,34295.33958,31306.80453,31978.11344,33398.80544,33858.16526,35115.76313,32058.23911,34122.31034,3455.504,2839.69,3239.483,3186.517,3029.75,2742.85,2967.434,2683.34,2728.59,3042.61,3181.624,3350.026
136,SF3775016,3775/016,Office,1,350 Brannan Street,350 Brannan Street,17195,1597,350 BRANNAN CO ,Office,17195,12.23,3,94.01,540.2,1929,,9460.748973,8374.275381,8851.92284,7792.646257,7343.514627,6283.358831,5955.88106,5976.718423,5916.023375,6212.347676,7917.553207,9477.160961,440.228,379.516,382.346,300.91,240.275,141.925,123.338,161.65,179.902,253.685,421.025,497.697
137,SF3722004,3722/004,Office,3,144 Second Street,144 Second Street,24564,2282,144/156 SECOND STREET LP,Office,24564,20.62,5,107.46,534.94,1908,20140523,35341.63311,30355.14369,35791.08712,38557.67934,38397.60385,38555.53993,41228.61313,40269.83066,27713.10673,20693.37718,23757.085,21415.24088,3247.948,484.461,2585.768,2230.821,2234.875,2187.492,2255.685,990.073,2212.275,3245.226,2593.075,1708.929
138,SF3733030,3733/030,Office,3,275 5th St,Renaissance Entrepreneurship Center,18000,1672,RENAISSANCE ENTREPRENEURSHI,Office,28000,18.63,4,92.73,534.51,1965,20100803,11531.53153,10773.44423,11684.13371,11857.69048,12155.39222,11241.47895,11814.02287,11475.17394,11955.42973,11653.50777,12869.63606,13938.14439,403.403,386.678,270.943,103.376,74.525,74.375,75.172,56.676,28.669,7.733,5.083,525.86
139,SF3756032,3756/032,Office,1,325 9th street,325 9th street,16875,1568,AVISO LLC,Office,16875,11.87,3,92.28,531.74,1919,20120330,4930.923116,4922.541279,6464.213074,6404.485162,7164.682575,7516.924862,8129.179928,7992.96043,8448.100019,8570.398635,6508.349599,5576.119385,62.2,30.688,60.002,17.11,10.825,3.975,6.917,3.174,1.209,2.725,67.108,91.267
141,SF3510021,3510/021,Office,1,169 11th Street,169 11th Street,16282,1513,169 11TH STREET II LP,Office,16282,13.83,3,90.93,516.79,1923,,8400.036341,6827.240383,8443.264344,8162.443511,7610.531807,7318.369117,7776.996255,7237.569385,7403.682147,7372.118377,7963.272316,7041.475438,298.3,285.6,228.74,151.56,135.64,80.73,36.94,30.05,29.85,49.56,170.94,280.76
143,SF3756037,3756/037,Office,1,1265 Folsom,1265 Folsom,10150,943,JOHN T & JOAN C OROURKE LVG,Office,10150,9.36,2,92,513.35,1936,,2469.418019,2400.89797,3469.259761,2289.501603,2553.881142,3577.959873,3324.248126,3765.349605,3193.421137,3197.231063,2967.580463,3049.200795,215.262,339.575,273.149,191.814,84.225,29.308,42.17,44.2,54.111,61.586,155.333,102.796
147,SF3736095,3736/095,Office,3,217 Second Street,217 Second Street,22687,2108,217 SECOND STREET LLC,Office,22687,16.91,4,90.42,486.62,1912,20150721,16048.60879,14692.39246,16987.4038,13057.4361,14569.41978,13124.66663,14257.35755,13394.9369,12321.79805,12318.57427,10503.55495,11249.91941,282.866,279.034,251.724,198.776,149,113.833,91.012,90.019,118.326,119.06,205.917,322.85
148,SF3775022,3775/022,Office,1,376 Brannan St,376 Brannan St,15837,1471,PATANE REVOCABLE TRUST  ,Office,15837,11.47,3,88.25,482.81,1908,,5613.046358,4964.538384,5644.111906,5247.527944,5006.271724,4894.318522,4729.641808,3929.264333,3290.163944,4593.334388,4325.555223,5018.023879,76.458,79.484,80.11,58.954,26.573,3.529,0,0.995,0.031,18.181,49.535,296.647
152,SF3521027,3521/027,Office,1,1585 Folsom St,City Lights Showroom,16800,1561,N & B SOMA PROPERTIES LLC  ,Office,16800,9.24,2,86.87,469.33,1926,20120927,13701.87038,12607.36664,14394.51488,13252.88529,12250.75759,12934.93233,14165.27458,13286.23679,13108.13742,13287.35046,11190.74833,11620.59587,215.669,168.087,140.12,95.524,71.325,26.806,9.536,1.412,28.811,56.685,148.025,206.245
153,SF3775101,3775/101,Office,1,334 Brannan Street,"334 Brannan Street,  LP",15000,1394,334 BRANNAN STREET LP,Office,15500,12.48,3,86.42,464.86,1929,,6226.737473,5737.132709,6556.38397,6842.274936,6725.749823,6402.726735,6729.618363,6932.687404,6824.456206,7218.842134,6633.080706,6544.455972,278.723,276.354,218.372,94.532,61.21,34.367,21.823,19.765,39.304,58.435,175.906,264.775
156,SF3754007,3754/007,Office,1,348 6th Street,Astro Studios Inc.,18000,1672,INTERGALACTIC LLC ,Office,18000,13.05,3,98.73,457.15,1924,20080604,10619.75769,9701.594894,11004.06197,10588.83868,10113.85817,10196.62148,10852.45623,10296.03123,10635.90591,11553.39464,10601.49935,10789.73899,2078.934,1895.25,1902.854,1934.363,1634.815,1770.319,1990.71,1966.508,1898.63,2137.52,2026.931,2078.1
159,SF3788015,3788/015,Office,3,679 3rd St,679 3rd St,20878,1940,CHIA DAVID JR  ,Office,20878,21.59,5,83.91,407.74,1906,19970314,26112.11732,20068.16836,26962.93235,21210.50133,24489.61649,28838.88117,32668.73575,37429.38449,35426.56515,37461.47579,36243.67699,36789.55143,505.345,522.375,567.142,567.55,595.277,586.484,643.339,633.958,709.142,613.233,521.562,490.002
161,SF3736096,3736/096,Office,1,215 Second Street,215 Second Street,15500,1440,576 SACRAMENTO ST LLC,Office,15500,14.97,3,83.34,401.61,1906,20070226,11143.27079,7859.788872,8387.404972,8016.611276,6927.500044,6388.747238,6985.352301,7403.740761,7676.883129,7298.498889,6753.943273,7045.373285,91.6,130.8,136.136,135.03,102.186,47.515,30.471,38.771,37.591,42.375,115.725,218.336
162,SF0306007A,0306/007A,Office,3,450 Geary St,450 Geary St,20295,1885,"MOORE INVESTMENT ASSOCS II,",Office,20295,22.66,5,107.95,400.24,1922,,3956.461341,3639.094527,3768.837152,3481.070531,3531.185708,3268.300832,3336.498502,3280.873587,3280.668437,3501.468287,3568.024759,3541.912114,14.746,25.954,55.233,48.281,41.339,18.5,15.775,16.007,18.581,39.275,58.048,64.537
165,SF0306007B,0306/007B,Office,3,466 Geary St,466 Geary St,20295,1885,450-466 GEARY STREET LLC,Office,20295,22.87,5,100.68,350.19,1922,,4348.883692,3921.849631,4446.535019,3882.87116,3849.78342,3874.401402,4204.165128,4166.739934,3936.239427,4243.964198,4178.638626,4415.586699,1267.979,949.921,737.399,466.191,335.244,628.6,385.104,238.8,422.129,397.168,560.6,677.669
166,SF3721050,3721/050,Office,3,143 2nd Street,143 2nd Street,18157,1687,HAMILTON INVESTORS 143 LLC ,Office,18157,21.26,5,76.23,343.84,1907,20150730,23200.83584,19959.90786,23022.82439,19751.24116,19290.12291,19476.0766,21225.36004,20559.15056,20512.99185,20706.33092,19363.97686,20610.87763,858.603,765.334,882.494,860.069,888.375,807.092,922.12,885.596,874.094,886.599,804.858,769.944
171,SF3736098,3736/098,Office,3,589 Howard Street,589 Howard,15600,1449,201 SECOND ST LLC ,Office,15600,21.25,5,68.56,199.93,1907,20070521,2157.179952,3076.456417,3860.27537,3925.483714,3753.069921,3204.08893,3672.856331,3647.915971,3861.740726,3773.321142,3679.802118,3936.092892,139.352,141.98,115.124,35.545,4.55,0.25,0,0,0,7.875,73.626,153.636
172,SF3776011,3776/011,Office,1,414 Brannan Street,414 Brannan Street,13392,1244,ALDO P LERA EXEMPT TRUST,Office,19249,11.08,2,60.34,189.32,1924,,9147.367927,10561.70028,12168.72696,9696.993676,9885.936685,10599.97538,11347.0432,7700.328826,10463.16974,10865.79097,9454.242792,9751.710071,49.179,91.902,73.202,6.517,3.5,0.5,0,17.576,6.907,0.517,0,117.581
179,SF7296005,7296/005,Strip Mall,5,245 Winston Dr,Stonestown Galleria (Building 3),33637,3125,STONESTOWN SHOPPING CENTER ,Retail,33637,13.43,1,300.85,4832.15,1952,20070831,183972.2872,167817.2642,185827.9262,183339.8688,188691.7594,178745.8018,183711.5124,183617.3193,179435.2811,183463.5156,171246.5491,170119.954,2480.08,2203.43,2524.42,1549.77,2065.99,1393.99,1370.08,1648.92,2035.08,1601.44,2538.19,2700.53
195,SF5375059,5375/059,Retail Store,5,701 Bayshore Blvd,701 Bayshore Blvd,30000,2787,701 BAYSHORE LLC  ,Retail,30000,7.51,2,228.73,2471.19,1952,20110812,12918.08074,11090.10767,12082.56402,11364.89124,11784.33476,10891.46401,11045.06263,9600.368097,5231.58487,10744.31295,10308.22299,10882.84771,584.458,386.237,338.671,109.967,18.741,10.759,0.156,0.844,0,0,33.931,520.319
203,SF5596038,5596/038,Retail Store,5,1715-1745 Cortland Ave,1715-1745 Cortland Ave,20400,1895,ERIC & CHRISTINE BUGNA FAMI,Retail,35768,5.52,1,237.24,1910.57,1937,,11530.24202,10681.33195,11922.8109,11177.0326,11525.90456,11443.3464,12901.66875,12546.61298,12153.57518,12538.72936,10964.87835,8609.054728,377.271,182.562,176.774,44.008,44.228,31.138,37.802,76.823,29.073,34,79.854,347.207
210,SF1438038,1438/038,Strip Mall,5,507 Clement Street,507 - 547 Clement St,18838,1750,D BANK NATIONAL TRUST CO. T,Retail,18838,6.51,1,207.9,1613.37,1910,19940913,17014.07328,15225.57691,16588.35804,16181.28213,17830.62829,16325.29732,15833.49452,16578.97976,15604.5766,16126.21405,16348.74302,16403.78179,394.861,360.483,412.5,393.534,397.166,374.445,370.161,358.194,281.533,300.967,372.403,384.597
216,SF5414031,5414/031,Retail Store,5,5300 3rd Street,"5487-SAN FRANCISCO, CA",13100,1217,WALGREEN CO ,Retail,13100,7.11,1,160.28,1347.56,2000,20030314,33373.63062,30251.74817,34847.57366,32173.67986,31589.70617,29220.78227,30508.74231,30731.7402,30220.77054,30964.73181,29874.77067,29899.76965,815,893,1116,863,433,8,5,43,404,465,637,809
220,SF3639004B,3639/004B,Retail Store,5,3050 23rd Street,3050 23rd Street,18375,1707,RIGO INDUSTRIAL PROPERTIES ,Retail,18375,7.62,1,142.14,1249.7,1964,,3435.908257,2837.925759,3066.081697,2971.214546,2953.014824,2901.023991,3482.506579,2923.795624,3087.593123,3023.234686,2997.796104,3414.455444,183.71,112,86.03,14.86,6.93,7.15,8.19,6.68,5.33,7.05,42.47,234.19
223,SF1542042,1542/042,Retail Store,5,3855 Geary Blvd,3855 Geary Blvd,21500,1997,3855 GEARY BLVD LLC  ,Retail,21500,11.28,2,131.02,1080.58,1917,20130625,4457.613111,4114.016424,4592.308639,4364.47508,4425.345971,4206.187319,4332.120019,4369.457291,4115.950694,3868.745128,3949.163868,4669.474289,529.891,500.828,440,163.138,10.862,0,26.839,31.161,13.467,60.533,250.387,494.113
224,SF3636011,3636/011,Retail Store,5,2690 Mission St,"4231-SAN FRANCISCO, CA",22964,2133,2690 MISSION ST LLC LESSOR ,Retail,22964,9.57,2,131.68,1057.62,1953,19990714,32024.68246,28915.81236,31777.68204,31292.7078,32674.65579,33316.62827,34850.56299,33462.63635,32242.66882,33068.63142,30465.74877,30381.75456,168,145,124,31,25,2,1,2,1,6,62,190
228,SF3534057,3534/057,Retail Store,4,1975 Market St,Pet Food Express,10534,979,GIRAUDO TRUST  ,Retail,10534,6.75,1,131.72,1014.44,1922,20080102,17284.69524,16845.8504,17693.85195,17207.44166,20558.27135,21240.36528,22271.94664,20996.29558,19874.8879,20329.70511,17952.54591,17029.51813,2197.724,1388.843,1154.606,764.007,619.2,339.857,206.83,216.188,301.125,568.485,992.688,1366.703
232,SF3777055,3777/055,Retail Store,5,617 Bryant St.,Hundley Hardware,13000,1208,E M HUNDLEY HARDWARE CO ,Retail,13000,6.73,2,123.53,930.28,1986,20010515,4027.765566,3519.111174,4070.319506,3877.976871,3768.778538,3761.42245,3982.661907,3699.525811,3929.322947,3770.742115,3289.372652,3065.466247,293.917,243.202,215.419,147.662,99.95,42.583,15.839,18.403,23.942,22.608,107.742,202.52
235,SF2025003B,2025/003B,Retail Store,5,1750 Noriega St,"3869-SAN FRANCISCO, CA",13862,1288,CONTRA COSTA DEVELOPMENT IN,Retail,13862,9.4,1,115.7,834.87,1946,20070525,19162.22664,17364.29338,19223.21476,18623.23937,18898.22809,18487.25433,19036.20602,18837.21067,18398.24861,18993.21247,17739.27799,17667.27039,6,17,34,23,20,13,8,9,4,6,13,32
240,SF1450019A,1450/019A,Retail Store,4,5420 Geary Blvd,5420 Geary,10250,952,SAMUEL ALTERMAN TESTAMENTAR,Retail,10250,6.43,1,137.26,664.88,1923,,6643.719191,6069.299618,6689.379685,6522.504938,6873.164642,6671.41442,6897.049945,6990.187976,6793.390658,6956.572708,6550.58116,6365.360155,152.739,140.948,153.952,145.548,147.2,137.542,142.613,144.145,134.167,135.833,127.5,131.194
243,SF3636001,3636/001,Retail Store,5,2600 Mission Street,2600 Mission Street,13600,1263,2600 MISSION STREET LLC ,Retail,13600,9.63,2,102.58,482.7,1920,20020506,10487.6998,9539.0576,10770.10322,10405.46402,10748.65041,11109.86067,11750.80741,11602.13239,11269.55518,11547.38668,10048.29814,10669.49187,278.452,192.87,188.642,69.978,31.096,2.175,5.758,31.667,17.168,13.345,48.397,209.224
245,SF3721023,3721/023,Retail Store,5,181 2nd st.,Adolph Gasser Retail store,17500,1626,ADOLPH & MARION V GASSER RE,Retail,17500,10.76,2,86.81,460.92,1911,20060428,6878.176159,6139.607402,6953.70061,6727.449636,6748.37492,6704.883153,8468.820154,9987.134174,10349.72188,11595.56759,11642.83998,12416.6652,647.821,611.004,481.444,251.731,25.825,2.975,19.021,74.319,82.681,110.754,382.092,630.501
